index,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam,pred_giai_tri,pred_luu_tru,pred_nha_hang,pred_an_uong,pred_di_chuyen,pred_mua_sam,error_type
2,"Phòng sạch sẽ, thoáng, nệm êm, đầy đủ thiết bị",3,0,0,0,0,0,0,5,0,0,0,0,giai_tri luu_tru 
8,"chúng tôi đến đó chỉ vì bài đánh giá của Anthony Bourdain và lịch sử với Tổng thống Obama. phở ngon lạ thường. phần còn lại của các mặt hàng là ok. môi trường xung quanh bằng không. phòng tắm nằm ngay bên cạnh và nhìn ra nơi bạn ngồi. thực đơn không bao quát bởi bất kỳ trí tưởng tượng nào. Rất đông khách du lịch Mỹ gọi món chính xác trong thực đơn, đó là 'Obama Combo'. Tuy nhiên, nó lấp đầy sự tò mò của chúng tôi muốn xem nơi này mà Bourdain đã ngồi. chỉ vì lý do đó, nó là giá trị nó.",0,0,4,0,0,0,5,0,5,4,0,0,giai_tri an_uong 
9,"Đường đi vào hơi chông gai. Tới nơi thì tuyệt vời. Bãi biển sạch đẹp. Mọi người ở quanh vùng đều ý thức giữ gìn bãi biển xanh, sạch & đẹp.
",4,0,0,0,2,0,5,0,0,0,0,0,di_chuyen 
13,Điều duy nhất tôi không thể chịu được là sự nóng bỏng:),0,0,0,0,0,0,4,0,0,0,0,0,giai_tri 
24,"Tôi thích view phòng ra biển, sự sạch sẽ, sự chu đáo nhiệt tình của nhân viên lễ tân, chú bảo vệ. Có dịp chắc chắn trở lại",2,0,0,0,0,0,0,5,0,0,0,0,giai_tri luu_tru 
25,Đầu bếp Tan và nhân viên của mình rất thân thiện và niềm nở. Các món ăn chúng tôi nấu rất ngon với chỉ một vài thành phần được sử dụng. Rất khuyến khích một chuyến thăm.,5,0,0,5,0,0,0,0,5,5,0,0,giai_tri nha_hang 
36,"Xin lưu ý rằng có những kẻ lừa đảo ngoài kia giả vờ là bạn hoặc họ có thể là nhân viên của bạn sử dụng 
thẻ Vinasun của bạn để lừa đảo khách du lịch. Họ đã cướp của tôi 500 đô la.",0,0,0,0,1,0,1,0,0,0,0,0,giai_tri di_chuyen 
38,"Là một quán nhậu, với cách nấu và bài trí bình thường, tôi đã làm birtbday cho con gái ở đây, được nhà hàng trang trí và có 2 chú gấu đón tiệc rất dễ thương, tôi thích nhất món cá chình nướng muối ớt của nhà hàng",0,0,0,3,0,0,0,0,5,4,0,0,nha_hang 
39,"Tôi đã đi vào và gọi một bát phở. Tuy nhiên bị một cô gái đi ra và quát mắng thẳng vào mặt. Chắc chắn tôi sẽ không bao giờ quay lạiSau 11 ngày xuyên Việt, chúng tôi đã thử món phở được đề xuất này. Tôi đã ăn súp ngon hơn nhiều ở Việt Nam và nhân viên ở các nhà hàng khác thân thiện hơn nhiều. Các nhân viên thân thiện như ở hầu hết các thành phố phương Tây. Đánh giá quá mức.",1,0,0,3,0,0,0,0,0,2,0,0,giai_tri 
49,"Giá cả hợp lý, nhân viên thân thiện, ship hàng tận nơi, mình rất hài lòng bữa sau ghé ủng hộ nữa ạ",0,0,5,0,0,0,0,0,0,0,0,0,nha_hang 
