Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam,pred_giai_tri,pred_luu_tru,pred_nha_hang,pred_an_uong,pred_di_chuyen,pred_mua_sam,error_type
"View rất rất đẹp nha mọi người mọi người chụp hình hoàng hôn nên tới đây nha view đẹp, thoáng, mát!!! Đây là first option của mình nếu muốn đi rooftop bar",4,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,giai_tri luu_tru 
"Gần trung tâm , đi bộ ra bãi biển rất gần",0,0,0,0,4,0,0.0,4.0,0.0,0.0,0.0,0.0,luu_tru di_chuyen 
"Sân bay mới và sạch, nhân viên sân bay tương đối thân thiện. Các dịch vụ phòng sân bay không quá phong phú, chủ yếu là hàng lưu niệm và thức ăn nhanh.
",0,0,0,0,4,3,0.0,0.0,0.0,4.0,3.0,0.0,an_uong mua_sam 
"Gia đình mình vừa tới FLC Quy Nhơn tuần trước và ăn ở nhà hàng 3 ngày. Nấu ăn rất ngon. Hải sản tươi sống đa dạng, giá cả phải chăng. Nhân viên lễ phép, phục vụ nhiệt tình. Được đưa đón từ FLC luôn. Chia sẻ để mọi người ghé thử và tự cảm nhận nhé. Rất hài lòng.",0,0,5,5,5,0,0.0,0.0,5.0,5.0,0.0,0.0,di_chuyen 
"Thật khó để cân bằng giữa thời gian dành cho gia đình, đi chơi với bạn bè, đồ ăn lành mạnh và thân thiện với trẻ em. Nhà máy lọc dầu hoàn toàn nằm trong danh sách của tôi vì nhu cầu khó khăn đó. Lựa chọn bữa sáng muộn lành mạnh, diện tích rộng rãi dễ dàng vừa cho nhóm bạn 15 người của chúng tôi. Tôi thực sự đánh giá cao góc dành cho trẻ em với một bảo mẫu tận tình chơi với trẻ em. Và họ cũng có lựa chọn rượu tốt.",0,0,5,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,nha_hang an_uong 
"Đi lại thuận tiện, xe máy cho thuê mới giá phải chăng. Nhân viên hỗ trợ nhiệt tình qua điện thoại. Phòng tầng 2 view cây phượng tím đẹp.",0,5,0,0,0,0,0.0,5.0,0.0,0.0,4.0,0.0,di_chuyen 
"Đó luôn là một dấu hiệu tốt khi một khách sạn có uy tín chỉ giới thiệu một công ty taxi.
 Đây là một trong những đề nghị của khách sạn của chúng tôi và chúng tôi đã đưa họ khi ra ngoài và trong thành phố. Nhìn chung, chúng tôi rất hài lòng với dịch vụ nhận được. Luôn luôn yêu cầu họ bật đồng hồ và không chấp nhận một số ngẫu nhiên vì đồng hồ sẽ rẻ hơn 99% thời gian.",0,5,0,0,5,0,0.0,0.0,0.0,0.0,4.0,0.0,luu_tru 
"Tui o phong 308 ks muong thanh quy nhon. Ks qua te. Nem nam luong , men va nem nam rat ngua. May lanh thi hieu retech giong voi nhung ks binh dan . Voi cai gia phong 1560. Ks 4 sao ma kieu nay thi ko con gi de noi. Chia tay muong thanh quy nhon...",0,1,0,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,luu_tru an_uong 
View đẹp và nhà hàng có 3 cấp độ. Dịch vụ tốt. Thức ăn ra nhanh chóng. Nhiều loại thực phẩm và nhiều lựa chọn ăn chay. Bia hơi đắt tiền ...,5,0,5,5,0,0,0.0,0.0,4.0,4.0,0.0,0.0,giai_tri 
"Dịch vụ tãi vinasun cam ranh nha trang quá tệ, một điều hành của hãng tiếp đón và thương lượng gia ok,nhưng không ngờ đi được 
nữa đoạn đường thì nhân viên tổng đài điện thoại đòi giá cao hơn,trong khi nhà mình đang có e nhỏ 8 tháng,,mình nói chuyện với tổng 
đài thì họ kiên quyết và đòi đỗ khách giữa đường trong khi lúc đó đã 22h khuya,hãng taxi lừa khách trắng trợn,",1,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,giai_tri 
