index,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam,pred_giai_tri,pred_luu_tru,pred_nha_hang,pred_an_uong,pred_di_chuyen,pred_mua_sam,error_type
5,"Trải nghiệm du lịch Quy Nhơn của chúng tôi đã được cải thiện đáng kể nhờ những người chủ cho thuê xe đạp Hoài Bảo. Ngoài giá cả phải chăng, cặp đôi này luôn chào đón và hữu ích về nhiều mặt trong việc hỗ trợ chúng tôi tham quan thành phố. Rất khuyến khích! Cám ơn chị rất nhiều và hẹn gặp lại những lần sau! Tràmi & Jf.",0,0,0,0,5,0,5,0,0,0,0,0,giai_tri di_chuyen 
10,"Quán này ở ngay ngã tư trần phú nên dễ tìm. Giá cả hợp lí, tết phụ thu có 8k/ly thôi, có cả bán bánh ngọt kèm theo mà mình chưa thử. Chiều mình đi cũng đông mad buổi tối thì khách đông lắm. Không gian khá rộng, nhiều tầng, nhiều góc dễ thương thích hợp để sống ảo . hôm mình đi có cây đào nhìn đẹp lắm mà không có chỗ chụp. Nước uống không ngon mấy, nhất là latte tiramisu, ngọt lắm luôn. Nhân viên thân thiện, khá nhiệt tình.",0,0,4,3,0,0,0,0,0,5,0,0,nha_hang 
11,Trời mát ngồi ngoài trời ở Refinery thật sự chill. Ở đây không quá đông. Món Pháp thì phải nói là ngon tới bất ngờ. Kiểu là làm gia vị và thịt ngon lắm ấy. Xong uống chút vang nữa.,5,0,0,5,0,0,0,0,0,5,0,0,giai_tri 
17,"Chất lượng dịch vụ cho thuê ở đây rất tốt, Mr Bảo tư vấn tham quan nhiệt tình",0,0,0,0,5,0,5,0,0,0,0,0,giai_tri di_chuyen 
23,Quán ngay sát eo gió. Nhân viên nhiệt tình. Có xe đưa đón tận nơi. Đồ ăn rất là ngon.,0,0,0,5,5,0,0,0,0,5,0,0,di_chuyen 
25,"Ấn tượng với không gian ở đây, không gian nhà gỗ nhưng rất sang trọng, ấm cúng. Có nhiều góc chụp để checkin sống ảo. Giá cả phù hợp, cà phê rẻ chỉ từ 9.000 đến 10.000/ly à, ngoài ra còn những loại nước ép, trà lipton.. Tuy nhiên, menu món nước ít đa dạng như các quán cfe khác. Ở đây có phục vụ cơm trưa, tối nữa, những món ăn dân dã như cơm niêu, cá kho, canh riêu..rất thích hợp cho những bữa tiệc công ty, gia đình, các đoàn tour khi du lịch tới Quy Nhơn. Mình cực ấn tượng với món gà quay kèm xôi lên mẹc ở đây, ngon đậm đà. Giá cũng rẻ nữa, đi nhóm 4 5 người gọi 1 gà quay và thêm ít món nữa, ít lon bia mà chưa tới 500k. Nhìn bill mà thấy ngạc nhiên gà 195.000/con, tụi mình còn tưởng nhà hàng tính nhầm nữa cơ :)). Nói chung là hài lòng 👍👍",5,0,5,5,0,0,0,0,5,5,0,0,giai_tri 
26,Rất ổn app trong tầm giá,0,4,0,0,0,0,0,0,0,0,0,0,luu_tru 
36,"Cũng như các big.c khác, mình người miền bắc nên nghe giọng ở đây khá dễ thương, dễ chịu. Lắm gái xinh",0,0,0,0,0,5,4,0,0,0,0,0,giai_tri mua_sam 
39,"Mình có người quen giới thiệu,ăn nhưng khi đến đây mình quá thất vọng,NV xem thường khách,đồ ăn thì toàn leo teo ko ra ra gì hết,toàn đồ đông lạnh,mà giá bán quá cao,so với những nhà hàng khu đó.thất vọng",0,0,0,1,0,0,0,0,1,0,0,0,nha_hang an_uong 
56,"rat hai long ve dich vu, a cuong le tan rat nhiet tinh , se ghe khi den quy nhon vao lan sau . canh dep mon an ngon lao cong don dep phong rat sach se va thuong xuyen, dich vu an uong cung rat tot tha",0,5,0,5,0,0,0,0,0,5,0,0,luu_tru 
62,"Chuyến hành trình thật thú vị,hoàn hảo nhất cho một chuyến đi bằng du thuyền trên sông,ngon lành cành đào",0,0,0,0,5,0,5,0,0,5,0,0,giai_tri an_uong di_chuyen 
75,TT tương đối được.có điều bãi đậu xe ô tô chưa hoàn chỉnh.sảnh phía trước xe dừng đón trả khách vô ý thức.và đậu xe gây tắc nghẽn khu vực lên xuống đón trả khách.,0,0,0,0,0,0,0,0,0,0,2,0,di_chuyen 
76,"Xe máy cho thue mới, đẹp. Mình hay đi Đà Lạt nên cần tìm chỗ thuận tiện đi lại và thoáng, vì vậy lúc ở raon thấy phù hơp, lần sau sẽ quay lại cùng bạn bè",0,0,0,0,4,0,0,4,0,0,4,0,luu_tru 
