Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam,pred_giai_tri,pred_luu_tru,pred_nha_hang,pred_an_uong,pred_di_chuyen,pred_mua_sam,error_rate
"Quán không gian to, thoáng, đẹp, nhân viên khá đông. Mình có gọi chè khúc bạch và chè thập cẩm sau đó lên tầng 3. Tầng 3 chỉ có mình và bạn mình ngồi, k có bất kì 1 nhân viên nào, lúc chè đã chạy theo thang máy của đồ uống lên tới tầng 3 rồi nhưng chờ tới dc 1 lúc r vẫn k có nhân viên bưng qua cho khách, ban đầu bọn mình nghĩ chắc khách tự bưng nên nghĩ thôi không sao nhưng chè ở trong thang máy ở trong quầy nên thấy kì, tầm 15p sau mới có nhân viên bưng chè cho khách. Điểm trừ thứ 2 là chè khúc bạch k giống khúc bạch, vị hơi khó ăn, mình nghĩ món này nếu bạn nào có ăn chỗ khác rồi thì sẽ cảm thấy rất thất vọng vì chè khúc bạch chỗ này. Điểm trừ thứ 3, bọn mình ngồi ban công, nhân viên bật máy lạnh bên trong rồi đóng cửa lại, vì bàn này gần cửa ra vào nên bọn mình cảm thấy cực kì khó chịu. Mong quán cải thiện hơn.",0,0,0,2,0,0,0.0,0.0,0.0,2.0,0.0,0.0,
"Phòng ổn, được mời đi nên chẳng biết giá cả thế nào. Nói chung là đc mời sẽ đi, còn tiền túi thì nghỉ, kaka",0,4,0,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,
"Đi du lịch Phú Yên trước rồi mới sang Quy Nhơn. Phú Yên ăn cái gì cũng rẻ hết, sang đây nhìn menu mình thấy hơi choáng chút vì chênh lệch. Tuy nhiên đó là so với Phú Yên thôi chứ mặt bằng chung các tỉnh du lịch khác vẫn hợp lý. Đi Eo gió hay Kỳ Co xong mệt ra ăn luôn chuẩn. Dọc dãy này cũng nhiều quán lắm. Tụi mình gọi cơm chiên hải sản, Tu hài và Mì xào. Cơm hơi mặn xíu nhưng hải sản tươi. Tu hài rất chắc , dai ngon. Phục vụ nhanh nhẹn.",0,0,0,4,0,0,0.0,0.0,0.0,5.0,0.0,0.0,"an_uong((4, 5.0)),"
"Thật sự bất ngờ với lần đầu tiên tới nơi này, buổi chiều lãng mạn với hoàng hôn thật sự đẹp lắm luôn.Chụp được nhiều hình đẹp nên vui lắm !.Tới tối thì nhạc rất hay, nước uống ngon, thức ăn vừa miệng nữa,nhân viên quán cũng thân thiện,phục vụ nhanh. Bất ngờ ở gía cả phải chăng cho vị trí sát bên Khu phố Tây Bùi Viện .",4,0,0,4,0,0,5.0,0.0,0.0,5.0,0.0,0.0,"giai_tri((4, 5.0)),an_uong((4, 5.0)),"
"Phòng sạch sẽ, vị trí trung tâm rất gần biển,đầy đủ những vật dụng cần thiết và mấy chị nhân viên ở đây cực dễ thương .. mình sẽ quay lại vào dịp sau !!",0,5,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,
"Giá rất mắc, combo 4 món chuông gió nhỏ, 2 lót cốc nhỏ mây, 1 quạt đan nhỏ, 1 phin pha cafe sứ in chữ Sai Gon, người bán báo 1,200,000đ. Mình thấy mắc quá không mua, bảo em thôi chỉ lấy quạn đan thôi, chị báo 100,000đ. Mình đưa 200,000đ, chị bán nhất quyết không thối lại tiền, không cho mình đi luôn. Kiểu nhất quyết phải mua mới được đi ấy.",0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,"mua_sam((2, 1.0)),"
Nhân viên thân thiện. Giá khá tốt. Phòng có cửa sổ.,0,4,0,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,
"Nghe nói nhiều về “cà phê chồn” nên tôi quyết định đến đây uống thử vì theo tôi biết thì Legend là phải phục vụ “đồ thật”. (Sau khi đọc về cà phê chồn, tôi nghĩ rằng nhiều nơi, như ở chợ Bến Thành, nơi bán được cho là ""cà phê chồn"", không bán cà phê chồn chính hiệu.)",0,0,0,4,0,0,0.0,0.0,0.0,3.0,0.0,0.0,"an_uong((4, 3.0)),"
"Quán này nhỏ nhưng mà ko bí. Có món trà sữa country gì đó uống mùi khá giống trà Phúc Long trong SG, cô chủ nhiệt tình dễ gần/ Giá cả hợp lý .",0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
"1990 cafe nằm ở một con đường nhỏ, quán cũng không hẳn là lớn, chỉ là đủ để kê vài cái bàn cái ghế ở ngoài và ở trong cũng chỉ gói gọn trong vài cái bàn. Không gian ở đây ấm cúng và gợi cho mình cảm giác xưa cũ khá nhiều. Ban đêm thì quán khá tối nên chụp hình ít lên màu. Điều đặc biệt ở đây thì hầu như ai cũng biết rồi, cứ 3-5-7-chủ nhật, quán sẽ có phục vụ nhạc ascoutic(có phụ thu). Các bạn có thể làm khán giả hoặc cũng có thể tự mình đăng kí bài hát góp vui. Mà thường những ngày này cơ hội được gặp trai xinh gái đẹp cao lắm đó nha. Hehehe. Đồ uống ở đây thì giá rẻ hơn các quán khác một tí và uống được. Chất lượng phục vụ ở đây thì ok, không có gì phàn nàn nè. Mình đã ở đây vào các đêm nhạc ascoutic như một thói quen, còn các bạn thì sao?",0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
