Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
"Phòng vip mà chỉ có 1 màn hình, ko có Youtube, mùng 4 tết 300k/h, nói chung rất tệ mà giá thì cao",0,0,0,0,0,0
Nhân viên phục vụ mòi chài tiền k.. và tỏ thái độ nếu không có tip,0,0,0,0,0,0
"Quán kara sang xịn, giá phải chăng nhất khu vực !",0,0,0,0,0,0
"Karaoke hay, phòng sạch sẽ  nhưng phòng toilet ko tương xứng",0,0,0,0,0,0
Giá rất vừa phải nhưng chất lượng phòng ốc cực tốt. Mic hát nâng tầm giọng hát,0,0,0,0,0,0
"Vị trí trung tâm, cạnh khu nhà hàng quán xá sầm uất nhất thành phố Quy Nhơn.",0,0,0,0,0,0
"Quán khá cũ, thiệt bị cũ nên chất lượng không cao. Giá chưa xứng với trãi nghiệm thực tế",0,0,0,0,0,0
"Cơ sơ vật chất khá khang trang, có vài phòng hơi ẩm thấp. Giá cả tốt.",0,0,0,0,0,0
"quán có từ lâu, nhưng dạo này không thấy có sự nâng cấp, vẫn diện mạo cũ",0,0,0,0,0,0
"Âm thanh chưa hay lắm, khâu vệ sinh nên xem xét lại.",0,0,0,0,0,0
Âm thanh bình thường. Ít cập nhập các bài hát mới,0,0,0,0,0,0
Âm thanh hay. Phòng đẹp. Phục vụ nhanh chóng,0,0,0,0,0,0
"Dịch vụ tốt, không khí trong lành, hậu mãi. Phát huy tốt hơn nữa",0,0,0,0,0,0
"Phòng rộng rãi, nhân viên nhiệt tình, giá cả hợp lí",0,0,0,0,0,0
Nhiều phòng hát. Trang trí ổn. Ôm thanh tốt,0,0,0,0,0,0
"Âm thanh chuẩn, phòng rộng rãi, sang trọng",0,0,0,0,0,0
"Quán dễ tìm, chất lượng âm thanh tốt nhưng trái cây có vẻ để rất lâu rồi. Giá dịch vụ ở tầm cao, giá hát tối thiểu 390k/h. Hát quá 12h không có thêm phụ phí.",0,0,0,0,0,0
"Dịch vụ mắc, hay tính tiền sai. Chỉ được mỗi ưu điểm là trang trí khá sang trọng.",0,0,0,0,0,0
Kraoke Tụ điểm  sử dụng ma túy .   Nhưng chính quyền làm ngơ,0,0,0,0,0,0
Bạn sẽ thoải mái. Quẫy hết sức ở đây,0,0,0,0,0,0
"Phòng hát đẹp sạch sẽ. Phù hợp với khách du lịch Việt Nam theo đoàn và dân thành phố. Nhân viên rất cởi mở và nhiệt tình phục vụ. Tuy nhiên với khách du lịch nước ngoài phục vụ không được chuyên nghiệp thường chặt chém khách, tình trạng thường thấy với các quán. Rất mong quán chuyên nghiệp và chỉnh chu hơn nữa để khách du lịch Viêt Nam cũng như nước ngoài luôn vui vẻ và happy khi đến du lịch Quy Nhơn.",0,0,0,0,0,0
"Chất lượng tốt, âm thanh hay, nhân viên nhiệt  tình lễ phép",0,0,0,0,0,0
"View đẹp, phòng đẹp, âm thanh ổn, khoái cái mic cố định phía trên sân khấu. Trái cây ko ngon lắm",0,0,0,0,0,0
"em út nhiệt tình hơn các quán khác , vote mạnh",0,0,0,0,0,0
Karaoke vip. Giá cả hợp lí. Chất lượng phục vụ tốt,0,0,0,0,0,0
"Khá, âm thanh chưa hay lắm, tiện nghi tốt",0,0,0,0,0,0
