Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
"Nhà hàng cách xa trung tâm nhưng được cái có chỗ đậu xe hơi, đi gần chiều tối nên rất mát, lúc quán lên đèn khá là xinh, giá cả khá ổn, thuộc tầm trung không quá đắt",0,0,0,0,0,0
"Quy Nhơn Xưa là nhà hàng toàn đồ Quy Nhơn địa phương ngon, cảnh đẹp, ai đi Quy Nhơn phải tới",0,0,0,0,0,0
"Nhà hàng rất yên tĩnh và thanh bình, bài trí và món ăn đều đậm chất quê hương. Vừa ăn mà vừa hoài niệm, trong lòng bùi ngùi lắm. Lần sau sẽ đưa cả đại gia đình đến để cùng tận hưởng. Đồ ăn lên món nhanh mà phục vụ lại rất tận tình. Đặc biệt là nvs rất sạch sẽ, không gian cũng mát mẻ rất hợp đi tránh nắng ngày hè.",0,0,0,0,0,0
"Cuối tuần cùng gia đình đến đây dùng bữa là quyết định rất đúng đắn. Nhà hàng đẹp, thoáng mát. Đồ ăn và phục vụ cũng rất là ok! Đặc biệt là có rất nhiều cảnh đẹp, tôi và gia đình đã chụp rất nhiều bức ảnh đẹp! Cảm ơn Quy Nhơn Xưa!",0,0,0,0,0,0
"Nhà hàng đồng quê yên bình, sạch sẽ thoáng mát, các món ăn đều ngon. Thực khách ngồi thưởng thức các món ăn trong bầu không khí tràn ngập hương sen.",0,0,0,0,0,0
"Quán phong cách rất rất đẹp. Đậm chất cổ xưa, mang lại cảm giác bình yên, tĩnh lặng, thoát khỏi cuộc sống bộn bề xô bồ của cuộc sống. Ăn uống ở đây rất thoải mái, nhân viên nhiệt tình, vui vẻ, ăn mặc dễ thương. Món ăn nhìn chung cũng khá ngon, ngon nhất là các món gà heo và cá đồng. Nhạc mở dịu nhẹ nghe dễ chịu, êm dị. Toilet cũng rất sạch sẽ và xưa. Nhiều cảnh đẹp để check-in lắm. 2 vườn sen hoa nở rộ, quá đẹp. Tuyệt vời cho một nhà hàng đặc trưng, đặc biệt ở Quy Nhơn. Nơi đến lý tưởng cho gia đình, nhóm.",0,0,0,0,0,0
"Nhà hàng lâu năm, không gian làng quê yên bình, khá xa trung tâm Quy Nhơn. Món ăn ngon, giá cũng ổn.",0,0,0,0,0,0
"Một nhà hàng ẩn mình trong vùng quê ngoại ven thành phố Quy Nhơn (mọi người tránh vào nhầm “Làng xưa Quy Nhơn” phía ngoài 200m cùng phía). Chất xưa đậm nét trong ngôi nhà cổ thật sự (không phải phục dựng). Thức ăn Việt ngon theo phong cách đồng quê, giá rẻ, phục vụ đễ mến. Đặc biệt không bị ồn phiền vì khách du lịch TQ như các địa điểm phổ biến khác của du lịch Quy Nhơn.",0,0,0,0,0,0
"Nhà hàng này thật sự rất ngon và nổi tiếng. Tuy thực đơn không quá đa dạng về số lượng món ăn nhưng mỗi món ăn phải nói là rất ngon.. đồng thời khung cảnh thôn quê rất đẹp và thoáng đãng, giá cả cũng hợp lí.. mọi người nên đến ăn xem sao",0,0,0,0,0,0
Nhà Hàng Sân Vườn không gian đẹp. Đặc biệt có hồ sen,0,0,0,0,0,0
"Nhà hàng rộng rãi, các món ăn truyền thống rất ngon, đặc biệt món bánh xèo!",0,0,0,0,0,0
Nhà hàng chế biến món ăn rất ngon.Phục vụ thân thiện.Nhà vệ sinh thì sạch sẽ.Sẽ giới thiệu với bạn bè,0,0,0,0,0,0
"- Champa Garden là nhà hàng hải sản tươi sống, nằm trên ốc đảo ngay cửa sông Cái gần khu di tích Tháp Bà Ponagar..-  Thiết kế đẹp, sang trọng, Nhân viên phục vụ chu đáo, Thức ăn ngon tươi sống..- Giá OK !",0,0,0,0,0,0
"View biển cũng được, ngồi ngoài sân có dàn đèn treo sáng rõ, lung linh...Nhà hàng chuẩn bị cả menu riêng cho đoàn 30pax bên mình luôn, xịn xò quá ah..Ghẹ tươi, đầy thịt, ko bị ọp. Cá mú hấp xì dầu ngấm gia vị nên ăn ngon. Lẩu cá đuối cũng ổn. Không chê được chữ nào..Cám ơn nhà hàng cùng các bạn nhân viên nha",0,0,0,0,0,0
"Bún cá nhạt nhẽo, cafe không thơm ngon. Phong cách tiếp khách cũng chưa thật sự chuyên nghiệp..Hy vọng nhà hàng sẽ làm tốt hơn",0,0,0,0,0,0
"Phục vụ chậm, đi ít thì được chứ đi đoàn phải chờ đợi lâu. Đã đặt trước rồi mà cảm thấy nhà hàng như không chuẩn bị kịp. Nhân viên phục vụ ít.",0,0,0,0,0,0
"Món ăn bình thường, món xào lạc. Nhà hàng cũ nên dòm hơi bẩn, phục vụ tệ, ko chuyên nghiệp. lên món chậm",0,0,0,0,0,0
"Nhà hàng ăn sáng rất ngon, đặc biệt bánh canh cua gạch, bún chả hà nội, cà phê cũng ngon. Sẽ quay lại...",0,0,0,0,0,0
"Đặt tiệc cho thằng con lúc 6h tối, tới khi tới thì kêu tưởng đặt lúc 6h sáng. Chuyện thật như đùa ở cái nhà hàng này. Nhân viên đặt tiệc ghi xong cho có, mà sáng 6h sáng cũng k thấy gọi hỏi là sao k thấy tới.. cuối cùng qua bên Ngọc Trai. May là mời có mấy người trong nhà chứ mời 1 đống là ko biết chui đi đâu luôn.",0,0,0,0,0,0
"Thức ăn cũng tạm ổn. Sở dĩ mình để 3* là vì cty mình đi tour Vietravel có tổ chức gala dinner ở đây mà nhà hàng lại thiếu sự chuẩn bị trong khâu tổ chức, trang trí sân khấu. Món lẩu hải sản lại có vị ươn.",0,0,0,0,0,0
"Nhà hàng có một phong cách ẩm thực rất độc đáo, các món ăn được chế biến vừa miệng, sạch sẽ. Không gian ấm cúng, sang trọng tuy nhiên giá không dành cho giới bình dân.",0,0,0,0,0,0
"Nhà hàng, đãi tiệc, khách sạn đầy đủ. Có bán ăn sáng, giá cả món ăn từ 60-90k, đồ uống khoảng 50k. Nhà hàng phong cách sang trọng, xứng đáng với giá tiền.",0,0,0,0,0,0
"Nhà hàng sang trọng tổ chức tiệc cưới rất đẹp, đồ ăn đẹp mắt nhưng không ngon",0,0,0,0,0,0
