Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
"Chùa tọa lạc tại số 141 đường Trần Cao Vân, phường Lê Lợi, thành phố Quy Nhơn, tỉnh Bình Định. Chùa thuộc hệ phái Bắc tông..Chùa được Thiền sư Đức Sơn khai sơn vào năm 1695. Thiền sư người Trung Quốc, sang Việt Nam vào thời Vua Lê Hy Tông (1676 – 1705)..Chùa được trùng tu nhiều lần dưới thời các Thiền sư Tịch Thọ, Thiên Thánh, Chánh Nguyên, Chánh Nhơn. Khánh đồng được đúc năm 1739..Năm 1957, Hòa thượng Huệ Long đã tổ chức trùng kiến ngôi chùa kéo dài 20 năm. Chánh điện bài trí tôn nghiêm, tượng đức Phật Thích Ca ở giữa bằng đồng, cao 2m, được đúc tại chùa năm 1960..Pho tượng đức Phật A Di Đà ở sân trước chùa cao 17m, tòa sen và chân đế cao 5m, được tôn trí vào năm 1972..Chùa hiện đặt văn phòng Ban Trị sự Phật giáo tỉnh Bình Định..(Võ văn Tường - Chùa Việt Nam Xưa và Nay)",0,0,0,0,0,0
"Chùa cổ ở qui nhơn, kế bên đang xây dựng một ngôi chùa mới tháp đôi",0,0,0,0,0,0
"Chùa mát mẻ khuôn viên rộng, thoáng mát, chùa đẹp có những khu riêng phục vụ sinh hoạt và tu tập .",0,0,0,0,0,0
Chùa lớn.Vãng cảnh đẹp.Tu Hành.Kiến trúc uy nghi.A Mi Đà Phật,0,0,0,0,0,0
"Em về thăm Chùa LONG KHÁNH..Tham quan - du lịch  QUY NHƠN -BÌNH ĐỊNH..Tuổi em còn pé tí ti ..Lên chùa Cầu Phật độ trì..Linh thiên Phật độ bốn mùa tốt tươi..Cầu tài dâng lộc, lúc mùa lễ nghi..Giữa sân chua Thiện Nam - Tín Nữ  bước  Đi . Ngước nhìn 17m - chấp tay  lạy PHẬT A DI ĐÀ. Cảnh tiên mờ ảo  - từ xa xưa vọng về ..Phật ơi !  Em quỳ cạnh chỗ Phật ngồi..Tiếng chuông HỒNG THÁI vọng xa xăm - sạch bụi trần ai..Chắp tay cuối lạy hồn nhiên..Khói hương  mờ mịt một trời Quan Âm ..Đảnh lễ thành tâm Nam Mô A Di Đà Phật..Dấu ấn LONG KHÁNH TỰ vẫn còn nơi đây.",0,0,0,0,0,0
"Tổ đình Long Khánh nằm ở trung tâm thành phố Quy Nhơn. Với kiến trúc hiện đại, nhìn chung chùa không có nhiều điểm khác biệt và mới mẻ nhưng tuy nhiên khuôn viên đẹp, nhiều cây xanh (đặc biệt là bonsai) và một số mộ tháp của các đời sư tu hành tại đây.",0,0,0,0,0,0
Đâu đó ở thành phố xinh đẹp này vẫn có bóng dáng cuả những ngôi chùa. Kỳ vĩ mà thanh thoát. Bóng sừng sững giữa đô thị tấp nập.,0,0,0,0,0,0
"Quang cảnh chùa thanh tịnh, sân rộng, yên tĩnh....Là nơi tâm linh Phật giáo của người dân địa phương",0,0,0,0,0,0
"Chùa Long Khánh là một trong những địa điểm tham quan, du lịch tâm linh nổi bật ở Bình Định. Tại đây có bức tượng Phật lớn, cao tới 17m và đặt ngay ở giữa sân chùa, từ bên ngoài cũng có thể dễ dàng thấy được bức tượng này. Ngoài ra tại chùa còn 2 hiện vật quý là chuông Hồng Thái và tấm dấu Long Khánh Tự.",0,0,0,0,0,0
Ngôi chùa lớn kiến trúc khá đẹp nằm trong lòng thành phố Quy Nhơn.,0,0,0,0,0,0
"Chùa lớn nhất tại TP Quy Nhơn. Là nơi thanh tịnh cho ai muốn tìm về. Chùa được xây dựng theo kiến trúc truyền thống, rất đẹp.",0,0,0,0,0,0
"Sáng Mùng một tết  ,mẹ con đi chùa cầu an hằng năm  chùa Long Khánh nơi tín ngưỡng của hội phật giáo tôn nghiêm.",0,0,0,0,0,0
"Quang cảnh chùa rất đẹp , không gian yên tĩnh . Tượng Phật rất đẹp , mọi người đi chùa rất vui vẻ và hòa đồng . Các thầy chùa ở đây rất tốt bụng và vui tính nữa",0,0,0,0,0,0
"Rộng rãi, được xem là một trong những ngôi chùa lớn ở Quy Nhơn",0,0,0,0,0,0
"Chùa Long Khánh là một trong những địa điểm tham quan, du lịch tâm linh nổi bật ở Bình Định. Tại đây có bức tượng Phật lớn, cao tới 17m và đặt ngay ở giữa sân chùa, từ bên ngoài cũng có thể dễ dàng thấy được bức tượng này. Ngoài ra tại chùa còn 2 hiện vật quý là chuông Hồng Thái và tấm dấu Long Khánh Tự.",0,0,0,0,0,0
"Kiến trúc rộng rãi, hoành tráng. Khuôn viên nhiều cây xanh. Nên tránh đến vào buổi trưa vì ko hoạt động.",0,0,0,0,0,0
"Chùa Long Khánh là một trong những địa điểm tham quan, du lịch tâm linh nổi bật ở Bình Định. Tại đây có bức tượng Phật lớn, cao tới 17m và đặt ngay ở giữa sân chùa, từ bên ngoài cũng có thể dễ dàng thấy được bức tượng này. Ngoài ra tại chùa còn 2 hiện vật quý là chuông Hồng Thái và tấm dấu Long Khánh Tự.",0,0,0,0,0,0
"Khuôn viên rộng rãi, các công trình xây dựng hài hòa. Nhiều cây xanh, mát mẻ, bonsai đẹp. Chùa đang có nhiều hoạt động hưởng ứng Đại lễ Vesak 2019",0,0,0,0,0,0
Chùa nằm trung tâm thành phố. Là ngôi chùa lớn nhất ở thành phố Quy Nhơn. Nổi bật khi vào chùa là tượng phật lớn nằm ngay tầm mắt của du khách vãng tự.,0,0,0,0,0,0
"Nơi tôn nghiêm thanh tịnh , nơi lí tưởng để giảm căng thẳng mệt mỏi.",0,0,0,0,0,0
"Nằm ở vị trí trung tâm thành phố, chùa Long Khánh là một trong những trung tâm phật giáo lớn của Bình Định, là nơi sinh hoạt lễ bái của giới tăng ni phật tử và là điểm tham quan du lịch hấp dẫn cho du khách gần xa khi có dịp đến với Thành phố biển Quy Nhơn..Chùa được kiến trúc theo hình chữ “Khẩu” phía trước có chánh điện gồm Thượng điện và Hậu điện. Phần Thượng điện thờ Phật Adiđà và Quan âm Chuẩn đề, Hậu điện thờ Phật tổ Thích Ca. Hai bên có Đông phòng và Tây phòng. Hai dãy này là chỗ dành riêng cho tăng ni. Phía sau là Tổ đình, thờ các vị khai sơn phá thạch..Kiến trúc nguyên thủy của chùa không còn nữa. Ngôi chùa hiện nay về cơ bản được xây dựng lại vào năm 1956 và hoàn thiện vào năm 1972.",0,0,0,0,0,0
"Là địa điểm tâm linh đẹp, gần gũi cho các phật tử..Nếu bạn chỉ đến ngắm cảnh thì có phần không hợp vì khuôn viên chùa có một số phần đang xây, sửa lại chưa hoàn thiện.",0,0,0,0,0,0
Chùa Long Khánh (Quý Nhơn) là ngôi chùa lớn nhất của tỉnh Bình Định. Ngôi chùa được xem là nơi Tổ đường của người dân theo đạo Phật.,0,0,0,0,0,0
"Chùa nhỏ nhưng khá đẹp. Là ngôi chùa cổ kính của đất Quy Nhơn. Có bức tượng Phật khá đẹp, có thể nhìn từ bên ngoài. Không gian trong chùa cũng rất tĩnh lặng, không mang không khí xô bồ như các chùa lớn.",0,0,0,0,0,0
"Nam Mô A Di Đà Phật.Chùa được Thiền sư Đức Sơn khai sơn vào năm 1695. Thiền sư người Trung Quốc, sang Việt Nam vào thời Vua Lê Hy Tông (1676 – 1705)...Chùa được trùng tu nhiều lần dưới thời các Thiền sư Tịch Thọ, Thiên Thánh, Chánh Nguyên, Chánh Nhơn. Khánh đồng được đúc năm 1739.",0,0,0,0,0,0
Ngôi chùa lớn ở thành phố quy nhơn. Điểm đến cho các bạn phật tử yêu đạo. Khuôn viên rộng và đẹp,0,0,0,0,0,0
Chùa lớn nhất ở thành phố Quy Nhơn đang xây lại cổng chùa rất hoàng tráng như cung điện nguy nga,0,0,0,0,0,0
"Chùa thanh tịnh, rỗng rãi, thoáng mát. Mình từng nhiều lần học bài ở đây khi học cấp 3.",0,0,0,0,0,0
Nam mô a di đà phật.Chùa Long Khánh yên tĩnh đẹp thường phát cháo từ thiện vào thứ 6 hàng tuần,0,0,0,0,0,0
Chùa Long Khánh là một trong những ngôi chùa lâu đời ở thành phố Quy Nhơn. Là nơi tâm linh của Phật tử Quy Nhơn,0,0,0,0,0,0
"Chùa to đẹp, có khu chính điện hoành tráng, bên hông giảng kinh mỗi sáng",0,0,0,0,0,0
Chùa mới xây dựng cổng to đẹp phù hợp với không gian,0,0,0,0,0,0
Chùa Long Khánh với niên đại hơn 300 năm ở Quy Nhơn Bình Định,0,0,0,0,0,0
Mô Phật. Mong chùa càng phát triển cầu cho quốc thái dân an,0,0,0,0,0,0
Thân thiện mở rộng lòng đón nhận tất cả quý PT trên mọi phương diện,0,0,0,0,0,0
Nơi đi lễ và tham quan mỗi khi bạn ghé thăm Miền đất võ.,0,0,0,0,0,0
"chua long khanh co nhieu pho tuong dep, tuy dien tich chua hoi nho",0,0,0,0,0,0
"Di tích của một thiên tài ngắn ngủi, nhờ sự chăm sóc lưu giữ  của quý soeur cũng như chăm lo cho bệnh nhân trại phong Quy Hoà.",0,0,0,0,0,0
"Địa điểm là những gian phòng nơi Hàn Mặc Tử trải qua những ngày cuối đời. Căn phòng toát lên vẻ cổ kính, thấm mùi lịch sử..Phòng lau dọn sạch sẽ. Tọa lạc trong trại phong Qui Hòa (nay là bệnh viện phong), vé vào cổng để tham quan 5k rẻ bất ngờ..Phía trước là giàn hoa giấy, xa xa là biển, kết hợp với không khí bình yên trong trại phong phần nào xóa nhẹ đi nỗi ưu phiền của những người mắc phải căn bệnh quái ác này",0,0,0,0,0,0
"Bên trong bệnh viện da liễu, map dẫn đường hơi khó đi. Bãi biển bên trong cạn, sóng mạnh, giá nước rẻ",0,0,0,0,0,0
Mộ cụ Hàn nhìn xuống toàn bộ cảnh biển rất đẹp và yên bình. Tưởng nhớ nhà thơ tài hoa bạc mệnh.,0,0,0,0,0,0
"Xung quanh rất yên bình..Thích hợp cho những bạn muốn tìm hiểu vài nơi ko quá đông đúc, ko khí trong lành..Ngồi uống nước rất dễ chịu 🙂.(trong ảnh là nhỏ bạn đi cùng)",0,0,0,0,0,0
"Các kiến trúc cổ thời Pháp đẹp lạ, rất đáng để tham quan làng phong Quy Hoà",0,0,0,0,0,0
"Nhà lưu niệm bị khoá cửa khi mình đến. Chỉ có thể quan sát từ bên ngoài..Dọc con đường có các bụi cây hoa giấy rất đẹp..Gần nơi đây là bệnh viện da liễu, bệnh viện Phong Quy Hoà.",0,0,0,0,0,0
"Khung cảnh bình yên, giản dị. Hình ảnh trưng bày hơi nghèo nàn và chiếu sáng kém. Sách vở trong tủ bị ố mốc.",0,0,0,0,0,0
Đây ko phải là nhà khi ông nằm mất . Ông mất trong dưỡng lão bây giờ á ..Đồ thì chắc ăn ko phải của ông rồi vì khi đó ông chưa nổi tiếng . Ai mà đi giữ lại đồ của người đã mất khi họ là 1 người bình thường,0,0,0,0,0,0
"Đi từ cổng bệnh viện da liễu, mua vé cổng, chạy xe vào trong khuông viên thoáng rộng với bãi biển trải dài một bên, còn 1 bên là hàng dương, cảm giác mát lạnh. Những điểm ấn tượng là khu tượng danh nhân nền y học, bãi đá, dãy nhà của những bệnh nhân bệnh phong.",0,0,0,0,0,0
"Mặc dù sống ở Quy Nhơn đã đến Quy Hoà nhiều lần, nhưng đến 20 tuổi mình mới ghé thăm nhà của nhà thơ Hàn Mặc Tử..Yêu Quy Hoà, tĩnh lặng, đơn sơ nhưng đầy lưu luyến, kỉ niệm.",0,0,0,0,0,0
"cảm thấy nhẹ nhàng, yên bình đến lạ với ngôi làng này. Đẹp cổ kính màu sắc những căn nhà pha trộn điều có sự sắp xếp một cách thông mình của người tạo ra nó. Nên bảo quản di tích nơi đây",0,0,0,0,0,0
"Đẹp và thơ mộng, nên chuẩn bị thêm đồ bơi vs tấm bạc để tắm biển và ngắm biển vì nơi đây có bãi biển rất đẹp.",0,0,0,0,0,0
"Nơi nhà thơ, nhà báo Hàn Mạc Tử đã sống quãng đời còn lại ở đất Quy Hoà , Quy Nhơn.",0,0,0,0,0,0
"Cảnh đẹp, có mấy cây bông giấy rất lớn, đi mùa hè rất rực rỡ. Nhà lưu niệm cũng còn lưu giữ nhiều bút tích của ổng.",0,0,0,0,0,0
Nơi thi sĩ Hàn Mặc Tử trút hơi thở cuối cùng. Lúc lâm chung ông để lại mấy câu thơ như cứa vào tâm can người đọc..Ta trút linh hồn giữa lúc đây.Gió sầu vô hạn nuối trong cây.Còn em sao chẳng hay gì cả.Xin để tang anh đến vạn ngày.,0,0,0,0,0,0
Nơi ở và điều trị của nhà thơ Hàn Mặc Tử trong thời gian cuối đời. Nay là nhà lưu niệm lưu giữ 1 số hiện vật của nhà thơ.,0,0,0,0,0,0
"Rất thích hợp chụp ảnh phong cách Vintage ở đây. Vào nhà người dân chụp thì nên giữ im lặng 1 chút ^^.Biển sạch, mát và không quá đông người",0,0,0,0,0,0
"Ngôi nhà nhỏ,  đơn sơ giản dị nhưng là nơi ở cuối đời của Hàn Mặc Tử.  Thu phí 5k/ng,  quá rẻ nên ko có dv hướng dẫn viên. Một nơi đáng để đến với những ng yêu thích du lịch bằng trải nghiệm bản thân chứ ko phải đi theo kiểu sưu tập.",0,0,0,0,0,0
"Nhiều cây xanh mát, không gian thoáng đãng. Hơi ít ghế nghỉ chân.",0,0,0,0,0,0
"Nhiều kỉ niệm, không gian yên tĩnh, trong khu bệnh viện, cạnh biển Tuy Hòa, nên ghé thăm nếu có dịp ghé Quy nhơn.",0,0,0,0,0,0
"Phong cảnh thập, không khí thoáng mát, biển dịu êm, dàn hoa giấy nổi bật cả khung trời.",0,0,0,0,0,0
Nhà lưu niệm duy nhất và độc nhất tại tp Quy Nhơn về chàng thi thơ mệnh bạc Hàn Mặc Tử,0,0,0,0,0,0
Nơi nhà thơ tài hoa mệnh bạc trút hơi thở cuối cùng. Còn giữ lại nhiều di vật,0,0,0,0,0,0
Không khí trong lành..  Người dân thân thiện...cảm giác bình yên và buồn đến lạ,0,0,0,0,0,0
"... Hãy thăm Hàn Mặc Tử để biết trân trọng một đời người, được sinh ra, được sống, Hãy cảm ơn thượng đế, trời phật đã cho ta sống một kiếp người. Hãy sống sao cho đáng sống ....",0,0,0,0,0,0
"Nơi lưu dấu kỷ niệm của Hàn Mặc Tử trước khi qua đời, không gian tĩnh lặng. Mùa hè có hoa giấy rực rỡ.",0,0,0,0,0,0
"1 nơi tốt để tìm hiểu về nhà thơ Hàn Mặc Tử, nhiều góc chụp ảnh đẹp.",0,0,0,0,0,0
"Các bạn nếu có đi Quy Nhơn Bình Định nên ghé nơi đây, dấu chân thi sĩ Hà Mạc Tử đã in dấu nơi đây từ rất lâu.",0,0,0,0,0,0
"Nhà lưu niệm nhỏ, chính tại căn phòng mà thi sĩ đã điều trị và mất 80 năm trước đây. Tính lặng và thanh bình. Gần bên là nhà thờ và làng của các bênh nhân phong sinh sống. Rất đáng tham quan",0,0,0,0,0,0
Từ ấy anh ra đi.Ngoài song không gió thoảng.Hoa đào vắng mùi hương.Lòng em xuân hờ hững...Từ ấy anh ra đi.Bóng trăng vàng giải cát.Cánh cô nhạn bơ vơ.Liệng dưới trời xanh ngát...Từ ấy anh ra đi.Tiếng dương cầm vắng bặt.Dường tan trong đám sương.Thoảng về nơi làng mạc...Từ ấy anh ra đi.Em gầy hơn vóc liễu.Em buồn như đám mây.Những đêm vầng trăng thiếu,0,0,0,0,0,0
"Nếu có ý định đi thăm mộ Hàn Mặc Tử thì bạn nên đi cả nơi đây...vé vào 5k 1 người...trong đây có hình ảnh, bút tích và đồ vật...của Nhà thơ. Mình đến đây thì không thấy có người trông coi cũng như không có hướng dẫn viên nên không thể tìm hiểu kĩ hơn nơi đây...",0,0,0,0,0,0
"Một nơi tĩnh lặng để ghé thăm, đây cũng từng là nơi sinh sống cuối đời của nhà thơ trẻ tuổi tài hoa nhưng bạc mệnh của Việt Nam - Hàn Mặc Tử. Nhà lưu niệm không có người trông coi thường xuyên nhưng luôn sạch sẽ, khách tham quan dường như ghé thăm cũng có ý thức để tránh làm va chạm đến những hiện vật ở đây. Tuy mở cửa tự do nhưng đồ đạc ở đây được bảo quản rất tốt. Không gian cổ xưa....Mình đã ghé nơi này hàng chục lần và sẽ còn ghé nữa.",0,0,0,0,0,0
Nơi nhà thơ Hàn Mạc Tử bố chữa bệnh và mất. Trại phong quy hòa,0,0,0,0,0,0
"Là nơi Hàn Mạc Tử sống và dưỡng bệnh trước kia chết, tại đây có bút tích và những vật dụng khi ông còn tại thế.",0,0,0,0,0,0
"Đây là nơi lưu giữ những gì còn sót lại liên quan đến nhà thơ Hàn Mặc Tử. Chẳng hạn như bút kí, bản thảo bài thơ và giường của ông khi ông mất",0,0,0,0,0,0
Nơi thật thanh bình và yên tĩnh. Cảnh quan siêu đẹp nếu đam mê chụp ảnh sẽ đc hàng chục tấm ảnh đẹp trên 1 mét vuông,0,0,0,0,0,0
"Hiện vận ở đây cũ kỹ và bảo quản không được tốt lắm. Phía trước ó bãi biễn khá đẹp, với tượng các danh nhân",0,0,0,0,0,0
"Lưu giữ giường Nhà thơ nằm khi trút hơi thở cuối cùng, bút tích cuối cùng viết cho mẹ...",0,0,0,0,0,0
Vẫn còn mãi cho các thế hệ sau nhớ về nhà thơ trong lịch sử Việt Nam,0,0,0,0,0,0
Những kỷ niệm vui buồn của hàn mặc tử ở nơi  đây .ai cũng nên 1 lần ghé đến,0,0,0,0,0,0
"Biển rất đẹp, con người hiền hoà và rất mến khách, đặc biệt kem dừa và nước dừa rất ngon",0,0,0,0,0,0
Lưu trữ những kỷ niệm cuối đời của nhà thơ Hàn Mặc Tử,0,0,0,0,0,0
Mang lại ý nghĩa cao về mặt văn học và lịch sửa một thời của căn bệnh phong,0,0,0,0,0,0
Chỉ là tưởng nhớ về một người tài hoa bạc mệnh. Nên đến,0,0,0,0,0,0
"Quá đơn sơ, tương lại không ai đến. Cần có phương án tổ chức lại cho xứng tầm.",0,0,0,0,0,0
"Không gian yên bình, cảm thấy người nhẹ nhàng. Nơi tìm khoảng lặng...",0,0,0,0,0,0
la mot noi thich hop de cac ban trai nghiem voi su yen binh voi song bien.,0,0,0,0,0,0
"Gợi nhiều ký ức cho người yêu thơ, hoài niệm về những quá khứ.",0,0,0,0,0,0
Nơi yên bình và nhẹ nhàng với nhiều kiến thức thú vị,0,0,0,0,0,0
Kiếm hơi khó vì bản chỉ dẫn ko rõ lắm.Bạn phải hỏi người ở trại phong.,0,0,0,0,0,0
