Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
"Hàng hóa phong phú, đa dạng, thái độ phục vụ nhiệt tình.",0,0,0,0,0,0
"Đa dạng dịch vụ, nhân viên Co.opmart nhiệt tình và hàng hóa phong phú.",0,0,0,0,0,0
"Trung tâm Thương mại lớn đầu tiên của Bình Định, bao gồm siêu thị COOP MART",0,0,0,0,0,0
Rất nhiều dịch vụ kinh doanh và đủ các loại hình giải trí.,0,0,0,0,0,0
Một góc siêu thị Co.opmart Quy Nhơn ngày cuối năm 2021.,0,0,0,0,0,0
+ Trung tâm mua sắm lớn.+ Hàng hoá rất đa dạng và tuyệt vời.+Nhân nhân viên phục vụ chu đáo và nhiệt tình.,0,0,0,0,0,0
"Trung tâm thương mại Quy Nhơn,  07 Nguyễn Tất Thành , P.Lý Thường Kiệt ,tp Quy Nhơn . Luôn là nơi mua sắm đáng tin cậy của người dân tp Quy Nhơn. Ở măt trước xung quanh những shop thời trang , shop điện thoại di dộng..Nơi này có sự hiện diện của thương hiệu bán lẻ hàng đầu Việt Nam là siêu thị Coop Mark ,nằm chung trong TT thương mại Quy Nhơn",0,0,0,0,0,0
"Quy Nhơn hơi chán, đồ ăn đa phần toàn giá cao, cao hơn những địa điểm du lịch khác",0,0,0,0,0,0
"Cũng khá đầy đủ các mặt hành từ gia dụng đến trang sức. Rộng rãi, sạch. Nhưng k to như pic c trên HN. :)",0,0,0,0,0,0
"Tác phong nhân viên tạm được, các line tính tiền chả hiểu sao lại không chịu mở ra nhiều nhiều chút.",0,0,0,0,0,0
"Ngay trung tâm thành phố, kinh doanh đa dạng nhiều mặt hàng thời trang.",0,0,0,0,0,0
"Thoáng mát, sạch sẽ. Nhiều hàng hóa chất lượng, giá cả phải chăng.",0,0,0,0,0,0
Gọi là trung tâm thương mại nhưng giống chợ Đồng Xuân ở HN hơn,0,0,0,0,0,0
Siêu thị big c bán đồ còn rẻ hơn ở ngoài tạp hoá nữa. Hàng tươi ngon mà lại rất hợp lí so với mức sống chung ở người địa phương.,0,0,0,0,0,0
Trung tâm thương mại đang sửa chữa.và vẫn đang hoạt động..nhiều hoạt động đang tu bổ.sửa lại...khu trò chơi cho trẻ khá hữu ích,0,0,0,0,0,0
"Rộng rãi, trò chơi rất thích thú. Có nhiều hoạt động buôn bán, minigame",0,0,0,0,0,0
"Lần đầu ghé siêu thị thấy rộng, nhiều đồ, giá rẻ. Nhưng hơi buồn vì thanh toán nhân viên trả thiếu 100k nhưng vì không để ý. Đi ra khỏi siêu thị mới để ý. Không đáng gì, nhưng vẫn cảm thấy hơi hụt hẫng 😂",0,0,0,0,0,0
"Big C các mặt hàng rất đầy đủ, đa dạng, phong phú. Hiện tại tầng 3 đang sửa chữa nên sắp xếp đồ mới khó tìm. Chỉnh sửa lại rất đẹp, rộng rãi. Có CGV ở tầng 3 cũng rất tốt. Tầng 1 thì nhiều khu vực thay đổi liên tục. Có các quán cafe view cũng tương đối đẹp. Tầng 2 chủ yếu tầng game, mình ít đi tầng này nên không rõ lắm. WC ở đây cũng sạch sẽ lắm, nơi tụ tập đông người tầng nào cũng có wc mà lại sạch nữa, rất tốt.",0,0,0,0,0,0
"thời gian hoạt động của siêu thị là bao nhiêu, khách hàng mua số lượng nhiều, đợi thanh toán rất đông nv ko thông báo trước tới lượt thanh toán thì bảo đóng quầy ko nhận thanh toán nữa bắt qua 1 quầy khác rồi lại xếp hàng lại ngay từ đầu, mặc dù có nhìu KH xin nhưng nv nhất quyết ko chịu, vậy thì nên đánh giá dv mình ntn, nv ntn đây ạ.",0,0,0,0,0,0
"Nhân viên bảo vệ siêu thị k cho mang túi xách nhỏ vào, mặc dù khách có nhờ BV dùng dây rút để buộc khoá kéo lại như 1 số siêu thị khác. Hàng trái cây chắc ít người mua nên ít tươi",0,0,0,0,0,0
"Mình đi 2 người, mua hết 1tr5 tiền hàng, lúc thanh toán mình có xin nhân viên thêm 1 cái bọc nilong để chia ra mà nhân viên không cho là không cho. Còn nói mình là quy định siêu thị hàng bao nhiêu bọc bấy nhiêu. Cái bọc chị to như cái bánh xe bò vậy. Chắc phải vô siêu thị mua thêm cái bọc để đựng đồ.",0,0,0,0,0,0
Khu siêu thị tích hợp có các cửa hàng và chỗ ăn uống ở tầng trệt và lầu 2. Lên tầng 3 sẽ thấy khu siêu thị của Big C.,0,0,0,0,0,0
Nhiều địa điểm công cộng đag hoàn thiện. Quy mô rộng rãi hơn trước. Giá các mặt hàng chế biến sẵn rất cao. Quần áo rẻ.,0,0,0,0,0,0
"Nhân viên bảo vệ ảo tưởng sức mạnh nghĩ khách hàng thích mình rồi lại nháy mắt đưa tình các kiểu.""Sao 2 em chạy vậy,bộ say anh hả"".Nhân viên thật là ải chỉa:)) đừng để tui gặp lại nữa tui mà gặp nữa tui ỉa pẹc pẹc banh cái siêu thị =))))😏pủm pủm ỉa tám đống 💩💩💩💩💩💩💩",0,0,0,0,0,0
TT tương đối được.có điều bãi đậu xe ô tô chưa hoàn chỉnh.sảnh phía trước xe dừng đón trả khách vô ý thức.và đậu xe gây tắc nghẽn khu vực lên xuống đón trả khách.,0,0,0,0,0,0
Mua  đùi gà  hay sườn  mang về  mà  để vô bịch nilon  siêu thị  phải  bỏ  vô  hộp  cho  dễ  cầm  chứ,0,0,0,0,0,0
"Từ ngày đổi từ BigC qua Go tự nhiên chán hẳn, từ đồ đạc đến giá cả mỗi nơi mỗi giá ...lộn xộn!.Chán 🙄",0,0,0,0,0,0
