Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
"Tôi cũng gia đình đi 1 chiếc xe 7 chỗ từ sân bay về, theo như gu gồ map thì đường đi bằng 1 nửa quãng đường tài xế đi, tài xe chọn cung dươngd vòng xa nhất có thể bất chấp mình có nhắc nhở,đi từ sân bay về 215 trương pháp ( 5km) hết 190k, thật không thể tin nổi, đây là lý do taxi truyền thống ko còn ai muốn dùng..chuyến đi lúc 3h kém chiều ngày 30/7/2022, xe 7 chỗ từ sân bay về 215 trương pháp Thật sự thấy được đón tiếp quá bực mình rồi!",0,0,0,0,0,0
"Tài xế chở khách từ Khách sạn Trầu Cau về đường Tô Hiến Thành khoảng 20h ngày 16/6/2022 nói năng với khách thiếu lịch sự, cự cãi với khách suốt dọc đường. Sẽ ko bao giờ sử dụng dịch vụ của Mai Linh nữa.",0,0,0,0,0,0
"năm trước đi không thích lắm, nhưng thấy năm nay toàn xe mới nên cho 5*",0,0,0,0,0,0
"chất lượng dịch vu tuyệt với, lái xe rất thân thiện, dễ mến",0,0,0,0,0,0
Tài xế của hãng nhiệt tình lắm luôn. Chất lượng xe tốt,0,0,0,0,0,0
Đi du lịch gặp bác tài qua dễ thương thân thiện 5 sao nhaa,0,0,0,0,0,0
"Chất lượng dịch vụ tốt,  tài xế nhiệt tình",0,0,0,0,0,0
"Tôi cảm thấy Dịch vụ của quý công ty phải nói rõ ràng , minh bạch tài chính . Cước phí rẻ . Tài xế lái xe kiêm Hướng dẫn Du lịch nhiệt tình , vui vẻ và làm việc có Tâm ..Cám ơn đã cho Tôi trải nghiệm dịch vụ .",0,0,0,0,0,0
Ố là la ... Đi sân bay mà mình gọi 4 chổ lạ được 7 chổ đón mà giá lại rẻ . Đúng là Uber Bình Định rồi ..Các bạn ủng hộ nhé .,0,0,0,0,0,0
"Dịch vụ xe tốt , tài xế chụp ảnh đẹp và nhiệt tình . Cần cải thiện thời gian đón khách nhanh hơn nữa . Cám ơn công ty đã đặt xe cho gia đình đi tham quan Nha Trang .",0,0,0,0,0,0
Tôi vừa trải nghiệm chuyến đi từ tp Quy Nhơn đi sân bay . Gọi xe 4 chổ không ngờ lại được xe 7 chổ chở đi . Mà giá thì có 270 ngàn gồm phí BOT luôn nhé . Lúc vào tp k biết có Uber . Thank ad nhiều .,0,0,0,0,0,0
"Dich vu tot , lai xe nhiet tinh , vui ve ... biet cac quan an ngon va ban dia tai tp Quy Nhon",0,0,0,0,0,0
"Nhà xe rất bố láo, khách gửi đồ từ Quy Nhơn vào  nhưng không gọi người nhận hàng ra lấy, gọi lại thì bảo gọi rồi.",0,0,0,0,0,0
"Nhân viên nhà xe ăn nói mất lịch sự, thiếu trình độ văn hoá.",0,0,0,0,0,0
"Xe Ngọc Thương đi an toàn, nhiệt tình, chờ khách hơi lâu",0,0,0,0,0,0
Xe đi qua khúc đỗ xăng một lúc thì quay lại để đổ xăng làm tốn thời gian. Còn dừng đi vệ sinh lúc 1h30 sáng ở bãi đất trống :),0,0,0,0,0,0
Bọn này cực kỳ mất dạy. Bán vé hét vô mặt tôi một cách rất chợ búa. Kêu tới nha trang cho xuống tụi nó cũng ko thông báo gì chạy luôn tới cái chỗ xa xôi nào đó... phụ xe trông rất tởm và khiếp. Cuối cùng thằng tài xế đưa 30 ngàn kêu tự bắt xe buýt về... may có ng tốt ng ta có ô tô cho quá giang về,0,0,0,0,0,0
"Giá rẻ chất lượng phục vụ tốt ,đúng giờ ghi trên trang web",0,0,0,0,0,0
Nhân viên bất lịch sự. Nghe ko rõ hỏi lại thì gằn giọng và tắt máy giữa chừng!,0,0,0,0,0,0
Nhà xe phục vụ các tuyến du lịch và vận chuyển hàng hóa. Chất lượng dịch vụ ok.,0,0,0,0,0,0
"Làm ăn như kiểu ở chợ, bố láo. Nhân viên bán vé như phường cá tôm. Lần cuối đặt vé nơi này!",0,0,0,0,0,0
Mẹ bay lũ mất dạy.. Người ta người nước ngoài có biết gì đâu mà bay ăn cắp điện thoại ipad người ta không trả lại vậy hả..sao tụi bay làm ăn thất đức quá vậy,0,0,0,0,0,0
"Xe toàn lũ ăn cắp, khách khiếu nại thì văng tục vì có công an che dù.",0,0,0,0,0,0
- Xe này đón trả khách không đúng địa điểm mặt dù gần đến nơi mình nhắc nhở nhiều lần..- Trả khách không đúng địa điểm xong rồi bỏ đi không chịu trách nhiệm xử lý..- Trên tài này ngoài mình ra còn nhiều người khác xe cũng trả không đúng địa chỉ như mình.,0,0,0,0,0,0
"Thật sự rất tệ..1. Chuyến đi từ Ngã 3 Nhà đá - Đà Nẵng.Lần đầu mình liên hệ tổng đài và gặp 1 bạn nữ nhân viên nói chuyện rất chi là nhăn nhó và nạt nộ. Lần 2 mình gặp 1 bạn nam và đặt vé thì ban đầu bạn báo giá xe là 120k, sau đó bạn báo lại là 140k. Và cuối cùng anh tài xế lấy 180k...2. Chuyến đi về:.Mình cũng liên hệ tổng đài và báo giá là 180k. Nhưng khi lên xe thì tài xế lấy 200k. Haizzz..Thiệt là khó hiểu về cách làm việc, phối hợp và phục vụ.",0,0,0,0,0,0
"Nhà xe giá có rẻ hơn hãng Sơn Tùng nhưng tôi khuyến khích không nên đi. Thật là một trải nghiệm thật tệ, nhân viên kiểu chợ không lịch sự, nhã nhặn, xuống xe dừng nghỉ ăn cơm, tắt luôn máy lạnh và wifi làm cho khách không ăn cơm trên xe rất nóng nực. Thật tệ.",0,0,0,0,0,0
xe như cc nhân viên không thèm phục vụ khách hàng luôn mà gọi đặt vé xe mà nói ừ ừ rồi rồi mà không thấy liên hệ lại cho khách không biết đón cái giờ nào để mà đi chán cái xe và nhân viên,0,0,0,0,0,0
Cực kỳ tệ. Đặt xe 3h thì 5h kém đón. Đặt 2h thì 3h rưỡi đón. Làm ăn k đúng giờ gì hết. K hiểu nổi,0,0,0,0,0,0
"Xe chạy quá ẩu, nhân viên ăn nói thô lỗ, không tôn trọng hàng hóa của khách hàng. Chất lượng xe thì không ra gì, chặng đường từ Hà Lam ra Đà Nẵng cũng sang xe. Đi mà bực mình...",0,0,0,0,0,0
"Mình nhận hàng, có người gửi cho mình. Khi nhận hàng nhân viên thái độ lồi lõm.",0,0,0,0,0,0
Xe 16 chỗ chạy hơi ẩu.mà xe 16 chỗ nào cũng ẩu cả.thôi kệ.,0,0,0,0,0,0
"Xử lý thông tin của khách hàng quá tệ, đùng đẩy trách nhiệm cho tài xế -> vp -> chuyển qua người thay ca -> tài xế. Nhân viên vp ăn nói thô lỗ, ngang ngược",0,0,0,0,0,0
Nhà xe nên nâng cấp xe Solati hoặc Garden của Thaco cho rộng rãi. Hàng hoá gửi oke nhưng cần có thêm biên nhận rõ ràng.,0,0,0,0,0,0
