,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
245,Lần sau mình sẽ dẫn bạn bè mình tới đây dài dài luôn,0,0,0,0,0,0
1226,"Nhân viên lịch sự mà khi xuống xe để đi trung chuyển trong nội thành thì xe trung chuyển bắt khách chờ 30’ (ai vội thì tự bắt xe khác đi?)_x000D_
",0,0,0,0,2,0
2955,"Sạch sẽ , yên tĩnh , ấm cúng",0,4,0,0,0,0
4283,"Review cửa hàng cho thuê xe máy Quy Nhơn Hoài Bảo - Xe mới, đời mới, chạy tốt, êm và tiết kiệm xăng - Giao xe nhanh, thái độ phục vụ ân cần, tư vấn cho khách rất kỹ lưỡng. - Giá thuê xe số là 120k/ ngày , xe ga là 150k/ ngày. Tụi mình thuê 2 xe 3 ngày được giảm giá 10%. - Giao xe tận nơi và đến tận nơi lấy xe khi bọn mình trả, lúc trả xe có nhờ anh mua giúp ít đặc sản về làm quà anh chủ cũng rất vui vẻ nhiệt tình giúp đỡ. - Xứng đáng 5 sao và rất hài lòng khi sử dụng dịch vụ thuê xe máy tại đây",0,0,0,0,5,0
5340,"Tình cờ biết tới Chạm là vì đợt đó đỡ dịch rồi, nhà mình book vé đi Quy Nhơn chơi ở khách sạn Mento thì đối diện là Chạm luôn. Nhà mình chọn đi chơi buổi sáng để tối ghé qua Chạm massage cho khoẻ người, ngủ ngon hơn mà không ngờ là Chạm đông dữ dội, tối thứ 2 thôi mà đông hết ghế. Mấy bạn nhân viên ở đây mình thấy nhiệt tình, thân thiện, tay nghề tốt. Ấn tượng với Chạm! chắc chắn sẽ quay lại khi có dịp ghé Quy Nhơn!😍",5,0,0,0,0,0
1719,"Khách du lịch có nhu cầu thuê xe máy liên hệ địa chỉ này nha, ông bà chủ cực kỳ dễ thương lại nhiệt tình. Giá thuê xe thì khỏi bàn, siêu iu luôn nà",0,0,0,0,4,0
588,"Nhà hàng này nằm lênh đênh trên biển,view đẹp nhưng có mùi hơi hôi thối do rác đọng gần bờ và mùi trong bãi chưa dăm cảng Quy Nhơn bay ra.nhà hàng này sẽ rất mát vào buổi tối.nhà hàng này chuyên về hải sản (hải sản ở đây tươi sống và chất lượng nên ăn báo ghiền).nhà hàng thuyền này không gian nhỏ,nhà hàng này về đêm rất đông khách,đặc biệt là giờ cao điểm",0,0,2,0,0,0
1231,"Đọc review thấy nói đây là quán bánh xèo sang chảnh nhất Quy Nhơn. Đến nơi thấy cũng sang vừa tầm nhưng thực sự là đúng chảnh. 😂 Đi tắm biển về tưởng tượng là sẽ ăn nhiều lắm mà đến nơi thấy hết muốn ăn vì thái độ phục vụ của nhân viên. Gọi bánh và nước thế mà đem ra nhầm bánh và nước thì không đem luôn. 😂😂 Bánh tôm, bò có giá 25-30k. Được cái ở đây chỗ ngồi rộng rãi, nước chấm ô kê la.",0,0,0,2,0,0
5323,"Một trải nghiệm mua sắm, ăn uống tuyệt vời, một số cửa hàng, quán bar và nhà hàng xinh xắn, được chuẩn bị để đi lên cầu thang như một hàng đợi lớn để nâng",0,0,0,0,0,4
2242,"Nhà hàng này chuyên về món gà. Mình thấy khách du lịch đoàn hoặc lẻ ghé ăn rất là đông. Hơi ôn ào một chút vì là đắt khách mà. Nhà hàng ở trong thành phố nên phòng kín, không có view không gian đẹp.",0,0,2,0,0,0
3067,"Phòng sạch sẽ, nhân viên dễ thương",0,4,0,0,0,0
4260,Chúng tôi đến đây để ăn vì được đánh giá tốt và khách sạn của chúng tôi cũng giới thiệu nó. Gọi một con cá mập nướng và vợ tôi một món cơm chiên.,0,0,3,0,0,0
2785,"Xịn sò ạ!!!!! Lớn đầu rồi vẫn rất thích điều vào trong này chơi bời, tắm biển.... Rất thích hợp cho trẻ em chơi bời thoả thích, người lớn cũng bung lụa lắm ạ!!!! Đi tắm biển thì vào đây gửi xe cho an toàn, đừng để xe ở ngoài vỉa hè cạnh bờ biển nha, coi mất trộm như chơi ấy",4,0,0,0,0,0
3116,"Tôi đã sử dụng dịch vụ ở đây thấy hài lòng  về chất lượng xe, xe mới đi tốt và thái độ nhân viên nhiệt tình. Tiếp tục phát huy nha.",0,0,0,0,5,0
860,Chùa Long Khánh với niên đại hơn 300 năm ở Quy Nhơn Bình Định,3,0,0,0,0,0
3656,"Cơm gà ở đây rất ngon, suất đầy đặn, gọi thêm 1 bát canh chua chả cá thác lác thì chuẩn ko cần chỉnh. 1 đĩa cơm gà xối mỡ 45k là no căng. Cơm nấu trộn nghệ, đẹp mắt và ngon miệng. Có dịp đến Quy Nhơn nhất định sẽ quay lại. Điểm trừ duy nhất là đợi hơi lâu.",0,0,0,4,0,0
1642,"Tuy là cảng nội địa ,nhưng phục vụ rất chuyên nghiệp tận tình .không gian thoáng đãng.mát mẻ và đẹp_x000D_
",0,0,0,0,4,0
763,"Có bãi đỗ ô tô miễn phí rộng rãi, sạch, gần biển thoáng mát, có quán nước, thức ăn bình dân, khu vui chơi cho trẻ. Đến vào buổi nào trong ngày cũng đều thích hợp.",4,0,0,0,0,0
4084,Điều mình hơi tiếc là nhìn từ ngoài quán hơi nhỏ nhưng được cái vào rồi mới thấy quán còn kéo dài ra sau nữa. Chị chủ quán ở đây zễ thương mà mến khách cực luôn <3. Có dịp chắc chắn mình sẽ ghé lại quán nữa nhé quá tuyệt <3!,0,0,0,5,0,0
2691,Nhân viên nhiệt tình. Nhưng không gian trước nhà hàng không đẹp.,0,0,2,0,0,0
679,"Gần khu Eo gió nên khá tiện..Đồ ăn tươi ngon, nhưng cách phục vụ chưa được chuyên nghiệp: đặt bàn trước, nhà hàng chấp nhận rồi hủy mà không báo lại gì...",0,0,2,4,0,0
