Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
"Nhà hàng ven sông, bố trí nhìn chuyên nghiệp, phục vụ cũng tạm được. Thật ra không thể yêu cầu giống như trong SG được.Nhưng do vị trí ven sông, có mùi nước  sông thum thủm do Thủy triều xuống, muốn ngồi ven sông cho mát cũng khó.",0,0,0,0,0,0
Nhà hàng này theo mình thì...- đẹp- mát- thoáng- sạch- rẻ- ngon... NHẤT Ở QUY NHƠN,0,0,0,0,0,0
"Nhà hàng đẹp, lộng gió, mát mẻ và ăn thì tuyệt vời.:)",0,0,0,0,0,0
"Nhà hàng được đầu tư xây dựng lại. View đẹp, ngay cầu HàThanh. Các món ăn ok. Phục vụ nhanh nhẹn, thân thiện.",0,0,0,0,0,0
"nhà hàng đẹp với những món ăn đặc sản của Quy Nhơn, địa điểm bên dòng sông hấp dẫn",0,0,0,0,0,0
"Nhà hàng sạch sẽ, đẹp. Đồ ăn ngon, mức giá phù hợp cho khách du lịch",0,0,0,0,0,0
"Nhà hàng rộng, thoáng mát, sức chứa 1000 thực khách, có nơi đỗ ô tô thoải mái.",0,0,0,0,0,0
"Đồ ăn tươi ngon, giá cả hợp lý, nhân viên phục vụ nhanh và chu đáo, nhà hàng ngay dọc đường biển nên view đẹp. Chỉ có điều là nhà hàng để mấy người bán hàng rong vào bán hàng nên ngồi ăn uống ko thoải mái",0,0,0,0,0,0
"Hải sản tươi, nhà hàng thoáng, giá hợp lý(rẻ) so với mặt bằng du lịch chung cả nước",0,0,0,0,0,0
"Khác với lần đầu tới, các lần sau mình đều phải đặt trước để có chỗ và được chuẩn bị.Đây là nhà hàng hải sản tươi sống, chất lượng mà giá bình dân có uy tín số 1 của Quy nhơn.Giai thoại về chủ quán tự chọn từng con hải sản do chủ là dân gốc đi biển nên họ có mối sẵn với người đi biển.Đặc biệt họ không chấp nhận việc dẫn khách, ăn hoa hồng của các nhóm du lịch, tài xế để giảm đồ của khách. Nên phần lớn khách ở đây đến một lần là lưu lại.",0,0,0,0,0,0
"Nhà hàng ven bờ biển, hải sản đang bơi tươi ngon, phục vụ chu đáo, giá cả phù hợp so với mặt bằng của quy nhơn",0,0,0,0,0,0
"Hải sản của nhà hàng rất tươi ngon, giá các loại hải  sản ở đây khá rẻ so với các thành phố biển khác ở khu vực miền trung.",0,0,0,0,0,0
"Nhà hàng tương đối sạch sẽ, phục vụ nhiệt, giá không cao cũng không rẻ.",0,0,0,0,0,0
Nhà hàng lớn. Giá khá cao nhưng món ăn không xuất sắc,0,0,0,0,0,0
"Nhà hàng view đẹp. Đồ ăn ngon, giá cả phù hợp",0,0,0,0,0,0
Quản lý nhà hàng kém.  Xua đuổi xe đưa đón khách.,0,0,0,0,0,0
"Không gian khá trật, ít nhà vệ sinh, cầu thang lên lầu hẹp, nhà hàng mang hơi hướng cổ điển với tông vàng cam, đồ ăn không có gì đặc sắc, thức ăn bị nhạt ai ăn đậm đà cần lưu ý riêng, sức chứa ở đây vào khoảng 15 bang",0,0,0,0,0,0
"Quán có cách trang trí đẹp, lên món cũng không nhanh nhưng quán đông, có thể thông cảm được.Đồ ăn thì khá đắt, với lại thích hợp đi nhiều chứ 2 người mà ăn vài món thôi là dư đồ ăn luôn.Có 1 món là dưa muối mậu dịch, mình không gọi nhưng nhà hàng vẫn để sẵn trên bàn... Không thích cách làm như vậy",0,0,0,0,0,0
"quá đông nên nhân viên báo 1 tiếng mới có món, đành qua nhà hàng khác.",0,0,0,0,0,0
"Đồ ăn dân dã, tuy không đặc sắc nhưng cũng vừa miệng. Giá cả phù hợp vs nhà hàng và khách du lịch.",0,0,0,0,0,0
"Đồ ăn được chế biến đơn giản để thể hiện rõ độ tươi ngon của nguyên liệu. Bài trí ấm cúng, không gian thân mật gợi nhớ. Đã ghé cả hai nhà hàng Cơm Mậu 1 và Cơm Mậu 2 này. Là một địa chỉ nên đến tại Quy Nhơn.",0,0,0,0,0,0
"nhà hàng sạch sẽ , đồ ăn ngon, nhân viên thân thiện.",0,0,0,0,0,0
"Nhà hàng trang trí đẹp, nhiều nhân viên phục vụ nhưng không chuyên nghiệp và thức ăn không có gì đặc biệt giá rất đắt.",0,0,0,0,0,0
"Quán có view rất đẹp, thức ăn hợp khẩu vị, quán có món chả ốc và cá kho tộ ngon cực kì, giá rất rẻ so với các nhà hàng tương tự, nhân viên dễ thương, phục vụ nhiệt tình lắm luôn.",0,0,0,0,0,0
"Cơm ngon, nhà hàng làm theo phong cách thời bao cấp rất hay",0,0,0,0,0,0
"Nhà hàng Mậu Quy NhơnĐúng với tên gọi, nhà hàng Mậu mang đến cho khách hàng những dấu ấn Việt Nam xưa đậm nét, từ món ăn đến khung cảnh ấn tượng. Bên cạnh đó, một điểm cộng “phía sau nhà hàng có Hồ cá Koi nơi chụp ảnh rất đẹp” tiếp theo nhà hàng này đó chính là dễ tìm khi nằm trên đường An Dương Vương """" con đường vàng của Tp Quy Nhơn"""" và nằm kế bên khu du lịch ghềnh ráng Tiên sa, bạn ghé qua đây để thưởng thức những món ăn ngon mà chẳng cần đi tìm nhà hàng cho mất thời gian.",0,0,0,0,0,0
Dịch vụ ở đây rất tốt. Nhà hàng có nhiều sự khác biệt rất đẹp và tinh tế. Đồ ăn siêu ngon. Đặc biệt anh chủ rất nghệ sĩ...mọi người có thể đến và cảm nhận sự khác biệt này. Sẽ luôn ủng hộ,0,0,0,0,0,0
"Nhà hàng sạch sẽ, rộng rãi lắm, thoáng mát. Mâm cơm đẹp, hấp dẫn lắm 🥰Nhà hàng chuẩn bị bàn ăn nhanh, đúng giờ. Về phần đồ ăn khá là ngon, mát, thiên về rau xanh nhiều(mình thích rau xanh). Mỗi tội cơm hơi cứng(ý kiến riêng vì mình thích ăn cơm mềm)Phục vụ nhiệt tình, dễ thương. Mn nên ghé qua quán trải nghiệm 1 lần ạ",0,0,0,0,0,0
"Nhà hàng rộng rãi sạch đẹp. Có khu trò chơi cho trẻ em, thích hợp cho gia đình nào dắt theo các bé.Menu đa dạng và thức ăn ngon, hợp khẩu vị của gia đình mình.",0,0,0,0,0,0
"Mình đánh giá 2* bởi vì các vấn đề như sau :+ Thứ nhất : Nhân viên ko vui vẻ với khách hàng có thể vì mình chỉ đi 2 người.+ Thứ 2:  Lúc đưa chén cho mình thì lại đưa cái chén bị mẻ mặc dù quán rất ít khách, nhân viên toàn đứng chơi mà điều đó lại ko để ý. Mình phải yêu cầu đổi lại.+ Thứ 3: Mình đi ăn lúc 12h mà nhân viên xếp vào bàn gần cửa sổ. Lúc ấy chưa nắng nên mình cũng ngồi, đến 12h30 thì nắng chiếu vào bàn rất khó chịu.+ Thứ 4: Chén dĩa đựng đồ ăn đa số đều bị sứt mẻ nhìn rất khó chịu.+ Thứ 5: Đồ ăn và giá cả cũng tạm được.Mong nhà hàng sẽ khắc phục những lỗi trên.",0,0,0,0,0,0
