Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
Trung lương trời xuân đẹp ngất ngây. Decor nhiều không gian để chụp ảnh tự sướng. Đến đây cùng bạn làm một bộ ảnh đẹp thì còn gì bằngKhu dã ngoại này khá nổi ở quy nhoen rồi. Đến quy nhơn mà k ghé thì hơi phí. Ở đây mang vẻ đẹp hoang sơTết này được decor thêm nhiều sắc vàng của các loại hoa nữa đó,0,0,0,0,0,0
"quá xấu cho một khu du lịch, ko có chỗ để ngồi ở trong khu du lịch, đi đúng 5p quay ra thế mà vé chặt 30k, cứ như lừa đảo. biển nhỏ và đá nhiều",0,0,0,0,0,0
"Lúc đi về xong mới biết là chưa lên đỉnh hoàng hôn với cầu (hay khóa) tình yêu gì đấy. Ở đây thích nhất là bạn nào mặc quần áo bơi để chụp ảnh ở hai cái xích đu giữa biển ấy. Ảo diệu vô cùng. Về cơ bản chỗ này chụp ảnh được nhiều khung, nhiều cảnh nên rất thích hợp đi sống ảo. Chỗ nào của Quy Nhơn cũng thích hợp để sống ảo luôn ấy :))) Nhưng mà chỗ này khá xa thành phố. Ở đây cũng có chỗ để nghỉ ngơi uống nước này nọ. Nhưng mà không được mang đồ ăn vào đây thì phải mà mình đi không thấy có chỗ để mua đồ ăn nên là.... Giá vé vào 30k/ng nha",0,0,0,0,0,0
"Đường đi vào khá xa trung tâm thành phố, phải tra google map và hỏi người dân mới tìm ra được. Giữ xe 10k và vé xuống biển là 30k 1 người, có bãi đất cắm trại khá là dễ thương",0,0,0,0,0,0
"Lần đầu tiên được con bạn dẫn tới nơi này...vừa có biển lại vừa có núi. Nơi này mới được khai thác nên còn hoang sơ, rất thích hợp cho những bạn thích du lịch bụi.Bãi biển được trang trí thêm các bàn ghế, lều nghỉ mát rất thơ mộng, rất thích hợp cho những bạn đến đây để chụp hình.Mình đến đây chỉ để chụp hình, tắm biển và ăn uống nên phần ở lại qua đêm thì chưa biết như thế nào nhưng nghe các bạn khác nói lại thì rất là thú vị.Điểm trừ là đồ ăn mang ra khá chậm nhưng bù lại rất là chất lượng đấy nhé.",0,0,0,0,0,0
"Phải nói là lần đầu tiên mình thích cái biển mà muốn lao xuống ngay lập tức là bởi 2 cái cổng gỗ đóng giữa biển. Nước thì trong veo, cực thích.Giá hàng rong ở đây khá rẻ, nên bạn cứ mạnh dạng kiếm cho mình 1 bàn ngồi trên biển, vừa ngắm biển vừa ăn thoải thích.Còn phía trên là nhà hàng, có cả chỗ xả nước ngọt mà có thu phí, giá hơi chát nha, lưu ý điểm này.Lúc mình đi khá nắng, nên khu vực nào cũng đầy ấp người. Khu trại rất thích, nếu có cơ hội sẽ thử book lều trại ở lại 1 đêm.Các góc ưng ý thì có khoảng 5 điểm để chụp hình đẹpBạn nhớ thay đồ phía trên khu vực nhà hàng rồi xuống biển nha, vì phía dưới không có toilet hay khu vực nào để thay đồ tắm đâu, cũng chẳng có bảng chỉ dẫn.",0,0,0,0,0,0
"Lần đầu tiên được anh đồng nghiệp dẫn đến nơi này, 1 nơi thật đẹp, có cả núi và biểnKhu dã ngoại này cách TP Quy Nhơn 15Km, ở đây có khí hậu mát mẻ, cảnh đẹp, Ấn tượng với 2 xích đu ở giũa biểnTắm biển chiều xong lên nhà hàng ăn, thức ăn ở đây ngon....à.. mà ở đây cũng có dịch vụ cho thuê thuyền dưới biển nữaỞ đay ngắm cảnh biển về đêm cũng tuyệt vời lắm nha... có thể thuê lều ở lại đây nhé. Gía cả hợp lý cả về đồ ăn và các dịch vụ cho thuê nhé...Một nơi lý tưởng để nghĩ ngơi cùng gia đình, bạn bè và những người thân Thích nơi đây!!!!",0,0,0,0,0,0
"Từ Quy Nhơn chạy băng băng xe đến Trung Lương thấy xa mỏi mòn, mà đến đây chộp hình thì tươi hết cả héo. Núi rừng đồi đá nhìn hùng vỹ lắm. Ở đây đc quy hoạch khá tốt, vào vé vào cổng xuống biển tắm là 30k/ vé. Có gian hàng và chỗ gửi xe đầy đủ, ko sợ phải thả rong xe ko có ng trông. Chỗ đi vệ sinh thì miễn phí, khá ấn tượng là được xây thành căn riêng theo kiểu tinh tế, khoái nhất là đi du lịch mà có cái wc nó sạch nó thơm. Hé hé. Còn lại thì cứ tung tăng mà xoã loã chộp hềnh nhé nhé.",0,0,0,0,0,0
"Hồi trước mình đi chùa ông núi đã đi biển trung lương 1 lần rồi. Nay quy nhơn phát triển khu dã ngoai trung lương, bạn mình tới chơi nên 2 đứa dắt díu đi. Đường đi dễ tìm và cũng ko xa mấy. Thích nhất là nhìn ngắm cảnh vật 2 bên đường đi, biển trong xanh, êm đềm thơ mộng. tới nơi rất đông, mặc dù mình tới tầm ban trưa. phí giữ xe 10k còn lại ko tốn vé vào cổng. ở đây có thêm 1 quán cafe,1 nhà hàng, khu cắm trại qua đêm, một số phòng thay đồ",0,0,0,0,0,0
"Lần đầu đến đây, cảnh đẹp, nhà hàng đẹp, đồ ăn cũng ngon, nhưng chưa có nhiều dịch vụ du lịch. Mong sẽ phát triển thêm.",0,0,0,0,0,0
"Cách trung tâm thành phố 18km là địa điểm hiện nay được coi là khu du lịch nghỉ mát và cắm trại của đông đảo bạn trẻ trong và nội thành... thảo nguyên xanh, bãi biển đẹp là 1 nơi được mệnh danh là lá phổi xanh của thành phố... mình tới đây không khỏi bất ngờ không chỉ cảnh đẹp mà còn không khí ở đây cũng rất dễ chịu, thiên nhiên đã ban tặng cho thành phố một nơi tuyệt đẹp để có 1 địa điểm du lịch thú vị cho người dân không riêng gì thành phố Quy Nhơn...",0,0,0,0,0,0
"Vé xuống: 20kThuê chòi :100kMình chỉ thích xích đu thôi, nên ráng đi để chụp hìnhBiển ko sạch lắm, nói chung được khu cắm trại chụp hình dễ thương.Đi khá xa nha, nhớ về sớm, đừng để về quá tối vì đường đi khá tối và nguy hiểm",0,0,0,0,0,0
"Vào đây bạn sẽ phải tốn những chi phí sau đây:- Gửi xe: 10k- Vé xúông khu cắm trại: 20k- Vé tắm tráng: 10kTheo mình nếu đã vào đây và khách phải mua vé vào cổng thì thu vé giữ xe là 10k là quá mắc. Và nhất là ở khu vực này. Và không bik có phải do mình đi trúng những ngày mưa bão ko mà vào thì thấy đã dẹp hết lều trại. Chỉ còn trơ trọi mấy cái ghế. Cái xích đu ngoài biển cũng bị gãy mất tiêu. Trong khi nó là cái lạ mà khi đến đây du khách muốn chụp hình.Nhân viên bán vé thì mặt hầm hầm, hỏi thông tin dịch vụ mà trả lời với cái mặt ko có 1 nụ cuời.",0,0,0,0,0,0
"Được cư dân mạng trầm trồ khen ngợi đây là jeju Việt Nam, đến xong mình không muốn đi Hàn Quốc luôn. Không biết do mưa bão dập hay như thế nào mà điêu tàn quá, thế mà thu 20k/người thì thật quá đáng rồi. Mấy cái liều cái ghế ngay khu cắm trại hệt cái nhà kho, mấy cái bàn cái ghế đặt để có cái chụp hình cũng lưng chừng lắm, không có 1 sự liên kết nào giữa các món với nhau. Biển động, sóng dập lên tận trên mấy tảng đá to, không thể tắm biển được đâu. Nếu nước rút xuống thì chụp ảnh với mấy tảng đá khá đẹp. Nói chung là JeJu Việt Nam rẻ tiền quá, không đáng bỏ ra 20k đâu. Hy vọng sau bảo khu này được tu sửa lại để thu hút khách hơn",0,0,0,0,0,0
"Đây là 1 điểm đẹp ở Bình Định nên khám phá. Ở đây có nhà hàng và khu cắm trại cho khách muốn ở lại đêm. Giá đồ ăn, nước uống ở đây khá mềm. Cảnh thiên nhiên ở đây rất đẹp, nước biển trong veo, chụp hình tự sướng ở đây khỏi phải nói, ảo tung cả chảo lun :D Đặc biệt ở đây họ xây dựng 2 cổng xích đu ở giữa biển, bạn nào chịu khó ra chụp hình... Dưới bãi biển có người dân bán vài món ăn vặt, giá mềm, không chặt chém khách.",0,0,0,0,0,0
Bãi biển mới khai thác...1 bên núi còn 1 bên biển...do mới khai thác nên dịch vụ chưa có nhiều...như muốn thay đồ dưới bãi biển thì ko có phòng thay đồ...còn muốn tắm nước sạch thì phải leo lên trên khá xa..biển đẹp...,0,0,0,0,0,0
